No,f1,f2,a1,a2,X,Y,Z,K,M,N
1,-1,-1,-90,-90,-3.781073312,0.001654261,-3.765017991,0.000638489,0.638973249,0.001357672
2,-1,-1,-90,-45,-3.705886832,0.225580624,-2.123175355,-0.059501764,0.488479549,0.210447974
3,-1,-1,-90,0,-3.632048279,-0.128631243,-1.057567771,-0.28809774,-0.856565387,0.050024302
4,-1,-1,-90,45,-3.442232403,-0.17986058,-0.550958502,-0.372232347,-0.388355685,-0.527932932
5,-1,-1,-90,90,-3.711866877,0.002855195,0.013783281,-0.153141692,-0.022960946,-0.002295947
6,-1,-1,-45,-90,-3.73832219,-0.218238996,-2.133250304,0.063365278,0.504762869,-0.208316196
7,-1,-1,-45,-45,-3.546676185,0.007279705,-1.169074509,0.001757998,0.797279519,0.001639998
8,-1,-1,-45,0,-3.460060177,-0.058214391,-0.508280298,-0.160433922,0.174889641,0.140864605
9,-1,-1,-45,45,-3.444165655,0.011827141,0.010981219,-0.355068405,-0.018231108,0.002305646
10,-1,-1,-45,90,-3.56343447,0.184494926,0.456133994,-0.264395313,0.431776605,0.335424141
11,-1,-1,0,-90,-3.563855627,0.131995379,-1.047327115,0.284990985,-0.829799469,-0.033153257
12,-1,-1,0,-45,-3.50440738,0.082322441,-0.527265047,0.170708056,0.178780364,-0.136097104
13,-1,-1,0,0,-3.491961057,0.016740229,-0.002710218,0.000242993,-0.009466178,-0.004704313
14,-1,-1,0,45,-3.507165374,0.08014401,0.52863801,-0.169536677,-0.195206528,-0.130900702
15,-1,-1,0,90,-3.649483174,0.135346868,1.066618096,-0.290609327,0.828236144,-0.039777956
16,-1,-1,45,-90,-3.540866308,0.200323371,-0.592628339,0.411987118,-0.359248984,0.558769305
17,-1,-1,45,-45,-3.478057159,0.010040235,-0.012387972,0.387008482,-0.008277672,0.005495733
18,-1,-1,45,0,-3.327732436,-0.056562757,0.486102626,0.146188634,-0.167896357,0.110500319
19,-1,-1,45,45,-3.599445199,0.006359491,1.192241695,-0.002080491,-0.805563401,0.00355065
20,-1,-1,45,90,-3.690655667,-0.213742441,2.117235654,-0.072194434,-0.534225797,-0.144585198
21,-1,-1,90,-90,-3.611648837,-0.000565554,-0.01785331,0.181541795,-0.009780359,-0.001955316
22,-1,-1,90,-45,-3.636117264,-0.193541949,0.563304419,0.410324566,0.357345382,-0.554534968
23,-1,-1,90,0,-3.456015328,-0.118713708,0.9990551,0.261493435,0.749242248,0.024814759
24,-1,-1,90,45,-3.743707147,0.221821615,2.140778335,0.07137739,-0.570738913,0.160198228
25,-1,-1,90,90,-3.759051529,0.00113985,3.737227945,-0.000879801,-0.717490271,0.001363097
26,-1,-0.5,-90,-90,-2.939936562,-0.68293293,-1.521191926,-0.106278167,-0.087059781,0.180605031
27,-1,-0.5,-90,-45,-3.038937344,-0.980834295,-0.924654904,-0.335448746,-0.532237851,0.223331504
28,-1,-0.5,-90,0,-3.060586439,-1.353254577,-1.42583555,-0.654992109,-1.354489245,-0.427331807
29,-1,-0.5,-90,45,-3.120752428,-1.412035039,-2.378566494,-0.727479267,-0.956168115,-0.693707043
30,-1,-0.5,-90,90,-2.971033072,-0.76492215,-2.1805842,-0.342146711,-0.754552377,-0.163693937
31,-1,-0.5,-45,-90,-2.782403742,-0.795564488,-0.870705235,-0.140985048,0.372796676,0.059745364
32,-1,-0.5,-45,-45,-2.846192198,-1.214448037,-0.554215036,-0.445812194,0.331736283,0.154117941
33,-1,-0.5,-45,0,-2.904886501,-1.905704171,-1.056593469,-0.602294028,-0.220147819,0.252582933
34,-1,-0.5,-45,45,-2.978726746,-1.832171833,-1.775750429,-0.298678585,-0.746853254,0.449290998
35,-1,-0.5,-45,90,-2.779412017,-0.850975329,-1.106860807,-0.185359843,-0.490076119,0.415185663
36,-1,-0.5,0,-90,-2.647817821,-0.820885624,0.062309271,-0.017773594,-0.11864061,0.005946177
37,-1,-0.5,0,-45,-2.769190328,-1.691787842,0.587996349,-0.280279828,0.40512369,0.261386019
38,-1,-0.5,0,0,-2.902730674,-2.385997638,0.034271123,-0.033620232,0.023794525,0.611167686
39,-1,-0.5,0,45,-2.714005719,-1.63199753,-0.510141484,0.197755401,-0.310003831,0.280955993
40,-1,-0.5,0,90,-2.695533066,-0.825399204,-0.030564182,-0.001967301,0.116901274,0.044242387
41,-1,-0.5,45,-90,-2.747237251,-0.830341917,1.123785064,0.137892366,0.43302452,0.40023976
42,-1,-0.5,45,-45,-2.859757746,-1.728477222,1.724243921,0.219668888,0.700234499,0.444084145
43,-1,-0.5,45,0,-2.879677228,-1.831449779,1.053906479,0.503088999,0.192321088,0.249957813
44,-1,-0.5,45,45,-2.778773829,-1.15031804,0.562515015,0.376078319,-0.300891821,0.160381401
45,-1,-0.5,45,90,-2.754014822,-0.7603863,0.898472375,0.101555446,-0.332733202,0.054232703
46,-1,-0.5,90,-90,-3.006566875,-0.755441863,2.204405484,0.287173724,0.733557525,-0.118079133
